number,value,datetime_start,datetime_complete,duration,params_activation,params_lr_phase1,params_lr_phase2,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_phase1,params_weight_decay_phase2,user_attrs_epochs_phase1,user_attrs_epochs_phase2,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
0,2.6834291929844767e-05,2026-07-31 14:21:25.439934,2026-07-31 14:25:48.847215,0 days 00:04:23.407281,tanh,0.005399484409787433,0.00015930522616241006,4,90,47,47,37.0,,0.000133112160807369,1.152798712823239e-07,1000.0,500.0,8.943183615883754e-08,3.593222936615348e-05,8.451911526208278e-08,2.6834291929844767e-05,7.575827112304978e-06,262.4231119830074,0.000710303895175457,0.000710303895175457,0.000710303895175457,0.000710303895175457,0.000710303895175457,0.0002194136322941631,7.819945312803611e-05,COMPLETE
1,0.00011816478217951953,2026-07-31 14:25:48.847773,2026-07-31 14:31:12.117638,0 days 00:05:23.269865,tanh,0.0003823475224675188,0.00016738085788752134,5,49,49,61,82.0,73.0,2.62108787826544e-06,7.52374288453486e-07,1000.0,500.0,4.810548489331268e-06,6.999726610956714e-05,8.836412348500744e-07,0.00011816478217951953,5.0276990805286914e-05,323.0269684980012,0.03922250494360924,0.03922250494360924,0.03922250494360924,0.00385245936922729,0.000755497720092535,,,COMPLETE
2,0.005614706315100193,2026-07-31 14:31:12.118482,2026-07-31 14:32:28.828101,0 days 00:01:16.709619,swish,0.0016409286730647919,2.1930485556643678e-05,4,51,81,89,36.0,,1.5673095467235414e-06,7.025166339242167e-05,,,,,,,,,0.005614706315100193,,,,,,,PRUNED
3,0.10739084333181381,2026-07-31 14:32:28.828634,2026-07-31 14:33:13.468441,0 days 00:00:44.639807,tanh,0.00011715937392307068,0.000658628931758311,5,41,98,74,43.0,80.0,5.975027999960295e-06,9.717775305059638e-06,,,,,,,,,0.10739084333181381,,,,,,,PRUNED
4,0.00021347372967284173,2026-07-31 14:33:13.468967,2026-07-31 14:40:57.936163,0 days 00:07:44.467196,swish,0.007568292060167618,0.0006161049539380963,3,49,126,107,,,6.218704727769077e-05,5.829384542994748e-05,1000.0,500.0,9.682260497356765e-06,0.00011993917723884806,3.7349823287513573e-06,0.00021347372967284173,6.774300709366798e-05,464.29400040100154,0.004541025031358004,0.004541025031358004,0.004541025031358004,0.004541025031358004,0.0015896635595709085,0.0007546353153884411,,COMPLETE
5,4.627641465049237e-05,2026-07-31 14:40:57.936876,2026-07-31 14:44:36.434291,0 days 00:03:38.497415,tanh,0.004544383960336014,5.170191786366994e-05,3,63,69,58,,,6.963114377829292e-06,4.247058562261874e-06,1000.0,500.0,2.2041469946998404e-06,2.597615821287036e-05,1.662292845594493e-07,4.627641465049237e-05,2.060531005554367e-05,218.25274199999694,0.001474524149671197,0.001474524149671197,0.001474524149671197,0.001474524149671197,0.0004745861515402794,0.00018613736028783023,,COMPLETE
6,0.15391813218593597,2026-07-31 14:44:36.434878,2026-07-31 14:45:07.658462,0 days 00:00:31.223584,tanh,0.00010257563974185662,0.0004274869455295214,3,127,106,51,,,0.00013199942261535007,1.5382308040279007e-05,,,,,,,,,0.15391813218593597,,,,,,,PRUNED
7,0.0792076364159584,2026-07-31 14:45:07.659002,2026-07-31 14:46:51.200478,0 days 00:01:43.541476,swish,0.0004187594718900631,4.4706085467784903e-05,5,43,115,92,64.0,38.0,0.0001544608907504709,8.178476574339539e-06,,,,,,,,,0.0792076364159584,,,,,,,PRUNED
8,0.0015660839853808284,2026-07-31 14:46:51.200999,2026-07-31 14:47:34.792615,0 days 00:00:43.591616,tanh,0.0011103647313054626,7.162786999897333e-05,5,101,105,86,106.0,79.0,1.1919481947918734e-06,2.1070472806578214e-07,,,,,,,,,0.0015660839853808284,,,,,,,PRUNED
9,0.016811033710837364,2026-07-31 14:47:34.793148,2026-07-31 14:48:02.281272,0 days 00:00:27.488124,tanh,0.000661859559718348,0.0003244160088734161,3,81,120,56,,,4.857295179217169e-06,1.7019223026554018e-07,,,,,,,,,0.016811033710837364,,,,,,,PRUNED
