number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
0,3.9838829112504056e-05,2026-07-31 10:22:15.885166,2026-07-31 10:25:55.845180,0 days 00:03:39.960014,tanh,16,1.2087541473056933e-10,0.005399484409787433,4,90,47,47,37.0,,2.5378155082656606e-05,1.3154261559761255e-06,3.348560911475807e-05,2.460999809000788e-07,3.9838829112504056e-05,1.4057893966243602e-05,72.0,2.0,3.0,68.0,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),218.67430949800473,0.0016874144109427784,0.0016874144109427784,0.0016874144109427784,0.0016874144109427784,0.0016874144109427784,0.00020867947377298853,5.2679903600475146e-05,COMPLETE
1,0.0002812921311508437,2026-07-31 10:25:55.848113,2026-07-31 10:30:15.068315,0 days 00:04:19.220202,tanh,7,1.4742753159914648e-09,0.0003823475224675188,5,49,49,61,82.0,73.0,2.8016351587162606e-05,6.1321261294094595e-06,0.00011236387674807449,5.3892483017536965e-06,0.0002812921311508437,0.0001405570791122222,26.0,0.0,1.0,24.0,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),258.8371392650006,0.042333440791151096,0.042333440791151096,0.042333440791151096,0.042333440791151096,0.0011410481042829967,0.0005937857289453236,,COMPLETE
2,0.0006177545788489903,2026-07-31 10:30:15.092885,2026-07-31 10:40:09.361744,0 days 00:09:54.268859,swish,6,6.245139574743071e-07,0.0016409286730647919,4,51,81,89,36.0,,4.809461967501569e-07,1.0840099708907304e-05,0.0003290110264491099,1.4509137019744193e-05,0.0006177545788489903,0.00025395719688245687,106.0,12.0,13.0,92.0,line search failed to satisfy strong Wolfe on iteration 12 (consider float64),593.7896076940087,0.07724328629519212,0.07724328629519212,0.07724328629519212,0.004886037890007841,0.0009191941659613695,,,COMPLETE
3,0.2063888921242544,2026-07-31 10:40:09.393768,2026-07-31 10:40:34.272145,0 days 00:00:24.878377,tanh,9,4.467752817973904e-08,0.00011715937392307068,5,41,98,74,43.0,80.0,0.0004337920697490938,,,,,,,,,,,,0.2063888921242544,,,,,,,PRUNED
4,0.24402397637413947,2026-07-31 10:40:34.277116,2026-07-31 10:42:38.594583,0 days 00:02:04.317467,swish,14,4.869640941520896e-07,0.007568292060167618,3,49,126,107,,,0.0003795853142670637,,,,,,,,,,,,0.016927199857526467,0.016927199857526467,0.016927199857526467,0.016927199857526467,0.24402397637413947,,,PRUNED
5,0.004322957378803962,2026-07-31 10:42:38.608474,2026-07-31 10:42:57.714319,0 days 00:00:19.105845,tanh,9,1.4817820606039055e-08,0.004544383960336014,3,63,69,58,,,2.6730883107816674e-06,,,,,,,,,,,,0.004322957378803962,,,,,,,PRUNED
6,0.1988120741053976,2026-07-31 10:42:57.722529,2026-07-31 10:43:16.489367,0 days 00:00:18.766838,tanh,16,8.241925264876447e-08,0.00010257563974185662,3,127,106,51,,,0.00018274508859815998,,,,,,,,,,,,0.1988120741053976,,,,,,,PRUNED
7,0.19763229515793684,2026-07-31 10:43:16.497973,2026-07-31 10:44:24.899229,0 days 00:01:08.401256,swish,16,3.5500125258511614e-08,0.0004187594718900631,5,43,115,92,64.0,38.0,1.998634077852888e-06,,,,,,,,,,,,0.19763229515793684,,,,,,,PRUNED
8,6.714346099965943e-05,2026-07-31 10:44:24.907898,2026-07-31 10:49:39.549027,0 days 00:05:14.641129,tanh,5,2.701255772543902e-10,0.0011103647313054626,5,101,105,86,106.0,79.0,5.130551760589833e-06,9.097177320888259e-07,2.3449367130405756e-05,9.433237021559681e-07,6.714346099965943e-05,4.1436951752452736e-05,37.0,0.0,1.0,35.0,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),314.2739519339957,0.003506521872141773,0.003506521872141773,0.003506521872141773,0.003506521872141773,0.0005166750587116003,0.00012471450679782538,,COMPLETE
9,0.03333894189772449,2026-07-31 10:49:39.580990,2026-07-31 10:49:56.230382,0 days 00:00:16.649392,tanh,8,2.0319809838424988e-10,0.000661859559718348,3,81,120,56,,,0.00010524574681335637,,,,,,,,,,,,0.03333894189772449,,,,,,,PRUNED
