number,value,datetime_start,datetime_complete,duration,params_activation,params_lr_phase1,params_lr_phase2,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_phase1,params_weight_decay_phase2,user_attrs_epochs_phase1,user_attrs_epochs_phase2,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
0,0.13841283321380615,2026-07-31 13:32:53.645568,2026-07-31 13:37:26.715970,0 days 00:04:33.070402,tanh,0.005399484409787433,0.00015930522616241006,4,90,47,47,37.0,,0.000133112160807369,1.152798712823239e-07,1000.0,500.0,5.623140532406978e-05,0.23136961460113525,0.0019551876466721296,0.13841283321380615,0.0028949857223778963,271.99141332300496,0.5273177623748779,0.5273177623748779,0.5273177623748779,0.5273177623748779,0.5273177623748779,0.2763727605342865,0.31300073862075806,COMPLETE
1,0.7226809859275818,2026-07-31 13:37:26.717050,2026-07-31 13:38:07.375022,0 days 00:00:40.657972,tanh,0.0003823475224675188,0.00016738085788752134,5,49,49,61,82.0,73.0,2.62108787826544e-06,7.52374288453486e-07,,,,,,,,,0.7226809859275818,,,,,,,PRUNED
2,0.698280394077301,2026-07-31 13:38:07.375730,2026-07-31 13:39:31.158633,0 days 00:01:23.782903,swish,0.0016409286730647919,2.1930485556643678e-05,4,51,81,89,36.0,,1.5673095467235414e-06,7.025166339242167e-05,,,,,,,,,0.698280394077301,,,,,,,PRUNED
3,0.4212990999221802,2026-07-31 13:39:31.159208,2026-07-31 13:45:02.518637,0 days 00:05:31.359429,tanh,0.00011715937392307068,0.000658628931758311,5,41,98,74,43.0,80.0,5.975027999960295e-06,9.717775305059638e-06,1000.0,500.0,0.0003543919592630118,0.47276654839515686,0.017691876739263535,0.4212990999221802,0.006225111894309521,331.18005314400943,0.8879619240760803,0.8879619240760803,0.8879619240760803,0.8879619240760803,0.7247467041015625,0.6191222667694092,,COMPLETE
4,1.1884920597076416,2026-07-31 13:45:02.519436,2026-07-31 13:46:03.733810,0 days 00:01:01.214374,swish,0.007568292060167618,0.0006161049539380963,3,49,126,107,,,6.218704727769077e-05,5.829384542994748e-05,,,,,,,,,1.1884920597076416,,,,,,,PRUNED
5,0.21297290921211243,2026-07-31 13:46:03.734385,2026-07-31 13:49:54.211647,0 days 00:03:50.477262,tanh,0.004544383960336014,5.170191786366994e-05,3,63,69,58,,,6.963114377829292e-06,4.247058562261874e-06,1000.0,500.0,7.82967108534649e-05,0.35704857110977173,0.0027807464357465506,0.21297290921211243,0.006249669007956982,230.30856334599957,0.6655393838882446,0.6655393838882446,0.6655393838882446,0.6655393838882446,0.3797043263912201,0.269643634557724,,COMPLETE
6,0.486947238445282,2026-07-31 13:49:54.212323,2026-07-31 13:53:37.879227,0 days 00:03:43.666904,tanh,0.00010257563974185662,0.0004274869455295214,3,127,106,51,,,0.00013199942261535007,1.5382308040279007e-05,1000.0,500.0,0.000832460995297879,0.4371943771839142,0.026109743863344193,0.486947238445282,0.0030903073493391275,223.42870192400005,1.0594180822372437,1.0594180822372437,1.0594180822372437,0.8275519609451294,0.6900266408920288,,,COMPLETE
7,0.7173529863357544,2026-07-31 13:53:37.879928,2026-07-31 13:55:19.301089,0 days 00:01:41.421161,swish,0.0004187594718900631,4.4706085467784903e-05,5,43,115,92,64.0,38.0,0.0001544608907504709,8.178476574339539e-06,,,,,,,,,0.7173529863357544,,,,,,,PRUNED
8,0.6068154573440552,2026-07-31 13:55:19.301757,2026-07-31 13:56:04.042997,0 days 00:00:44.741240,tanh,0.0011103647313054626,7.162786999897333e-05,5,101,105,86,106.0,79.0,1.1919481947918734e-06,2.1070472806578214e-07,,,,,,,,,0.6068154573440552,,,,,,,PRUNED
9,0.7093684673309326,2026-07-31 13:56:04.043572,2026-07-31 13:56:34.899508,0 days 00:00:30.855936,tanh,0.000661859559718348,0.0003244160088734161,3,81,120,56,,,4.857295179217169e-06,1.7019223026554018e-07,,,,,,,,,0.7093684673309326,,,,,,,PRUNED
