number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
0,0.10156956696375852,2026-07-31 12:27:58.263369,2026-07-31 12:31:43.142772,0 days 00:03:44.879403,tanh,16,1.2087541473056933e-10,0.005399484409787433,4,90,47,47,37.0,,2.5378155082656606e-05,9.995020813824478e-05,0.1334034867386679,0.003247338416082896,0.10156956696375852,0.0018946883929043855,60.0,14.0,15.0,44.0,line search failed to satisfy strong Wolfe on iteration 14 (consider float64),223.67280481400667,0.7512942267656304,0.7512942267656304,0.7512942267656304,0.7512942267656304,0.43412409691486303,0.19329303652735336,,COMPLETE
1,0.33713614592754243,2026-07-31 12:31:43.145778,2026-07-31 12:36:15.165950,0 days 00:04:32.020172,tanh,7,1.4742753159914648e-09,0.0003823475224675188,5,49,49,61,82.0,73.0,2.8016351587162606e-05,0.00016325814521701463,0.37504635120223084,0.014339032504787363,0.33713614592754243,0.005406354552468282,100.0,15.0,16.0,83.0,line search failed to satisfy strong Wolfe on iteration 15 (consider float64),271.6163902410044,0.9137582473195325,0.9137582473195325,0.9137582473195325,0.9137582473195325,0.9137582473195325,0.6372004976295118,0.4824946426305772,COMPLETE
2,0.7658298196183717,2026-07-31 12:36:15.178285,2026-07-31 12:37:11.906750,0 days 00:00:56.728465,swish,6,6.245139574743071e-07,0.0016409286730647919,4,51,81,89,36.0,,4.809461967501569e-07,,,,,,,,,,,,0.7658298196183717,,,,,,,PRUNED
3,2.0632813909311745,2026-07-31 12:37:11.912159,2026-07-31 12:37:38.448574,0 days 00:00:26.536415,tanh,9,4.467752817973904e-08,0.00011715937392307068,5,41,98,74,43.0,80.0,0.0004337920697490938,,,,,,,,,,,,2.0632813909311745,,,,,,,PRUNED
4,2.2800457505031897,2026-07-31 12:37:38.456524,2026-07-31 12:38:22.004911,0 days 00:00:43.548387,swish,14,4.869640941520896e-07,0.007568292060167618,3,49,126,107,,,0.0003795853142670637,,,,,,,,,,,,2.2800457505031897,,,,,,,PRUNED
5,0.900296075557034,2026-07-31 12:38:22.012477,2026-07-31 12:38:40.662266,0 days 00:00:18.649789,tanh,9,1.4817820606039055e-08,0.004544383960336014,3,63,69,58,,,2.6730883107816674e-06,,,,,,,,,,,,0.900296075557034,,,,,,,PRUNED
6,1.0667674730309624,2026-07-31 12:38:40.670550,2026-07-31 12:38:59.129798,0 days 00:00:18.459248,tanh,16,8.241925264876447e-08,0.00010257563974185662,3,127,106,51,,,0.00018274508859815998,,,,,,,,,,,,1.0667674730309624,,,,,,,PRUNED
7,0.9141883728846447,2026-07-31 12:38:59.136925,2026-07-31 12:40:05.717364,0 days 00:01:06.580439,swish,16,3.5500125258511614e-08,0.0004187594718900631,5,43,115,92,64.0,38.0,1.998634077852888e-06,,,,,,,,,,,,0.9141883728846447,,,,,,,PRUNED
8,0.22312464023684975,2026-07-31 12:40:05.725551,2026-07-31 12:45:15.180173,0 days 00:05:09.454622,tanh,5,2.701255772543902e-10,0.0011103647313054626,5,101,105,86,106.0,79.0,5.130551760589833e-06,0.00023166280197865261,0.381898009182849,0.002581808211782554,0.22312464023684975,0.00519923951770643,44.0,2.0,3.0,40.0,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),309.0575861469988,0.8193407468461533,0.8193407468461533,0.8193407468461533,0.39516997905418777,0.2635169655288685,,,COMPLETE
9,0.5465661883361017,2026-07-31 12:45:15.205730,2026-07-31 12:47:35.672914,0 days 00:02:20.467184,tanh,8,2.0319809838424988e-10,0.000661859559718348,3,81,120,56,,,0.00010524574681335637,,,,,,,,,,,,0.7976732437230502,0.7976732437230502,0.7976732437230502,0.7976732437230502,0.7976732437230502,0.6259887594179508,0.5465661883361017,PRUNED
10,0.24917088949841404,2026-07-31 12:47:35.678542,2026-07-31 12:57:23.932977,0 days 00:09:48.254435,swish,20,3.299263281612618e-09,0.0029255425810910765,4,126,33,34,120.0,,1.271124000730177e-07,0.00014608746346435645,0.17966793596180938,0.015735532410348887,0.24917088949841404,0.0012511600966987164,78.0,10.0,11.0,66.0,line search failed to satisfy strong Wolfe on iteration 10 (consider float64),587.8593868390017,0.749675412110393,0.749675412110393,0.749675412110393,0.749675412110393,0.749675412110393,0.564748934430615,0.28624205757586424,COMPLETE
11,0.8044188303051016,2026-07-31 12:57:23.962340,2026-07-31 12:57:48.343948,0 days 00:00:24.381608,tanh,12,1.0473363433053045e-10,0.0014014640289440811,4,97,68,124,122.0,,1.4209368414616323e-05,,,,,,,,,,,,0.8044188303051016,,,,,,,PRUNED
12,0.4591184018015443,2026-07-31 12:57:48.353383,2026-07-31 13:00:40.404044,0 days 00:02:52.050661,tanh,20,5.221193917457902e-10,0.00963988203038364,4,103,89,38,83.0,,9.84175675835792e-06,,,,,,,,,,,,0.633965841634353,0.633965841634353,0.633965841634353,0.633965841634353,0.633965841634353,0.4458184879962406,0.4591184018015443,PRUNED
13,0.7356230717341418,2026-07-31 13:00:40.417468,2026-07-31 13:01:07.972790,0 days 00:00:27.555322,tanh,5,5.423186782954136e-10,0.0012464838012216882,5,95,47,80,98.0,125.0,3.902461506994236e-06,,,,,,,,,,,,0.7356230717341418,0.7356230717341418,,,,,,PRUNED
14,0.7942483321379341,2026-07-31 13:01:07.982289,2026-07-31 13:01:30.702821,0 days 00:00:22.720532,tanh,11,3.4296045999581887e-10,0.003884102911126366,4,79,63,106,50.0,,4.467539426971569e-05,,,,,,,,,,,,0.7942483321379341,,,,,,,PRUNED
15,0.7755773977153219,2026-07-31 13:01:30.712838,2026-07-31 13:01:57.419272,0 days 00:00:26.706434,tanh,17,2.2280405336323637e-09,0.00021914805291808694,5,109,32,71,98.0,127.0,7.087963161648778e-07,,,,,,,,,,,,0.7755773977153219,,,,,,,PRUNED
16,0.7252758785584623,2026-07-31 13:01:57.429037,2026-07-31 13:02:20.094728,0 days 00:00:22.665691,tanh,11,1.2473938862800277e-10,0.0023368046684652632,4,78,83,44,63.0,,1.0644003960788525e-05,,,,,,,,,,,,0.7252758785584623,0.7252758785584623,0.7252758785584623,,,,,PRUNED
17,0.22359265708869439,2026-07-31 13:02:20.103709,2026-07-31 13:05:53.954536,0 days 00:03:33.850827,tanh,13,1.0041059530148489e-09,0.0008346611675922259,5,116,51,107,107.0,86.0,5.270750513864844e-05,,,,,,,,,,,,0.7487360728984609,0.7487360728984609,0.7487360728984609,0.7487360728984609,0.3466220043297298,0.22359265708869439,,PRUNED
18,0.7781123549617627,2026-07-31 13:05:53.979590,2026-07-31 13:06:48.081664,0 days 00:00:54.102074,swish,15,6.460804625853703e-09,0.005450721698389966,4,89,108,93,75.0,,5.9780573538311055e-06,,,,,,,,,,,,0.7781123549617627,,,,,,,PRUNED
19,0.8026861292874787,2026-07-31 13:06:48.092651,2026-07-31 13:07:15.123401,0 days 00:00:27.030750,tanh,18,2.7196432491328644e-10,0.00234003839058117,5,63,94,127,53.0,32.0,1.0544167107601103e-06,,,,,,,,,,,,0.8026861292874787,,,,,,,PRUNED
20,0.8000592661094197,2026-07-31 13:07:15.133953,2026-07-31 13:07:37.292306,0 days 00:00:22.158353,tanh,10,7.690222266988317e-10,0.0007738631410147271,4,111,77,64,110.0,,0.0009074966324558192,,,,,,,,,,,,0.8000592661094197,,,,,,,PRUNED
