number,value,datetime_start,datetime_complete,duration,params_activation,params_lr_phase1,params_lr_phase2,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_phase1,params_weight_decay_phase2,user_attrs_epochs_phase1,user_attrs_epochs_phase2,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
0,0.039215318858623505,2026-07-26 10:23:16.597091,2026-07-26 10:27:56.289476,0 days 00:04:39.692385,tanh,0.005399484409787433,0.00015930522616241006,4,90,47,47,37.0,,0.000133112160807369,1.152798712823239e-07,1000.0,500.0,9.574354407959618e-06,0.043053749948740005,0.0016136427875608206,0.039215318858623505,0.001504146377556026,278.31943663497805,0.14631204307079315,0.14631204307079315,0.14631204307079315,0.10489767789840698,0.05989838391542435,,,COMPLETE
1,0.09912501275539398,2026-07-26 10:27:56.290138,2026-07-26 10:33:33.287910,0 days 00:05:36.997772,tanh,0.0003823475224675188,0.00016738085788752134,5,49,49,61,82.0,73.0,2.62108787826544e-06,7.52374288453486e-07,1000.0,500.0,4.3873766117030755e-05,0.05181422084569931,0.00714936712756753,0.09912501275539398,0.0015048609348013997,336.7203552359715,0.16073714196681976,0.16073714196681976,0.16073714196681976,0.16073714196681976,0.16073714196681976,0.1301722228527069,0.11571264266967773,COMPLETE
2,0.051569558680057526,2026-07-26 10:33:33.288946,2026-07-26 10:57:08.133591,0 days 00:23:34.844645,swish,0.0016409286730647919,2.1930485556643678e-05,4,51,81,89,36.0,,1.5673095467235414e-06,7.025166339242167e-05,1000.0,500.0,1.8540133169153705e-05,0.036199022084474564,0.003240385325625539,0.051569558680057526,0.0009734941413626075,1414.4097799260053,0.11468170583248138,0.11468170583248138,0.11468170583248138,0.11468170583248138,0.11468170583248138,0.09362521767616272,0.06048533320426941,COMPLETE
3,0.322725772857666,2026-07-26 10:57:08.134490,2026-07-26 10:59:07.989559,0 days 00:01:59.855069,tanh,0.00011715937392307068,0.000658628931758311,5,41,98,74,43.0,80.0,5.975027999960295e-06,9.717775305059638e-06,,,,,,,,,0.322725772857666,,,,,,,PRUNED
4,0.1490515172481537,2026-07-26 10:59:07.990144,2026-07-26 11:02:14.829528,0 days 00:03:06.839384,swish,0.007568292060167618,0.0006161049539380963,3,49,126,107,,,6.218704727769077e-05,5.829384542994748e-05,,,,,,,,,0.1490515172481537,,,,,,,PRUNED
5,0.11695374548435211,2026-07-26 11:02:14.830195,2026-07-26 11:04:42.692391,0 days 00:02:27.862196,tanh,0.004544383960336014,5.170191786366994e-05,3,63,69,58,,,6.963114377829292e-06,4.247058562261874e-06,,,,,,,,,0.13926561176776886,0.13926561176776886,0.13926561176776886,0.11695374548435211,,,,PRUNED
6,0.2508489787578583,2026-07-26 11:04:42.693114,2026-07-26 11:06:14.586080,0 days 00:01:31.892966,tanh,0.00010257563974185662,0.0004274869455295214,3,127,106,51,,,0.00013199942261535007,1.5382308040279007e-05,,,,,,,,,0.2508489787578583,,,,,,,PRUNED
7,0.22719362378120422,2026-07-26 11:06:14.586832,2026-07-26 11:10:45.692329,0 days 00:04:31.105497,swish,0.0004187594718900631,4.4706085467784903e-05,5,43,115,92,64.0,38.0,0.0001544608907504709,8.178476574339539e-06,,,,,,,,,0.22719362378120422,,,,,,,PRUNED
8,0.13099947571754456,2026-07-26 11:10:45.693005,2026-07-26 11:12:50.867033,0 days 00:02:05.174028,tanh,0.0011103647313054626,7.162786999897333e-05,5,101,105,86,106.0,79.0,1.1919481947918734e-06,2.1070472806578214e-07,,,,,,,,,0.13099947571754456,0.13099947571754456,,,,,,PRUNED
9,0.12176459282636642,2026-07-26 11:12:50.867672,2026-07-26 11:15:39.137067,0 days 00:02:48.269395,tanh,0.000661859559718348,0.0003244160088734161,3,81,120,56,,,4.857295179217169e-06,1.7019223026554018e-07,,,,,,,,,0.13302966952323914,0.13302966952323914,0.13302966952323914,0.12176459282636642,,,,PRUNED
