number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,state
0,6.250085282820813e-05,2026-08-01 05:46:53.379092,2026-08-01 05:50:37.234595,0 days 00:03:43.855503,tanh,16,1.2087541473056933e-10,0.005399484409787433,4,90,47,47,37.0,,2.5378155082656606e-05,1.7056057946086985e-06,3.801014647581151e-05,4.1513965174030934e-07,6.250085282820813e-05,3.081635409985579e-05,24,0,1,22,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),222.54966200399213,COMPLETE
1,0.0002811589595845795,2026-08-01 05:50:37.237929,2026-08-01 05:54:54.024656,0 days 00:04:16.786727,tanh,7,1.4742753159914648e-09,0.0003823475224675188,5,49,49,61,82.0,73.0,2.8016351587162606e-05,1.0307314159416307e-05,0.00010600844738306849,2.0867793487072786e-06,0.0002811589595845795,0.00015575037160889095,18,0,1,16,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),256.4028373270121,COMPLETE
2,0.0001520922826872752,2026-08-01 05:54:54.050051,2026-08-01 06:04:46.439371,0 days 00:09:52.389320,swish,6,6.245139574743071e-07,0.0016409286730647919,4,51,81,89,36.0,,4.809461967501569e-07,6.42002466861183e-06,7.76121831078995e-05,3.597988585449616e-06,0.0001520922826872752,4.520618193577012e-05,72,3,4,67,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),591.8649328949978,COMPLETE
3,0.005243750506321618,2026-08-01 06:04:46.449139,2026-08-01 06:09:31.872060,0 days 00:04:45.422921,tanh,9,4.467752817973904e-08,0.00011715937392307068,5,41,98,74,43.0,80.0,0.0004337920697490938,0.0003980303102290558,0.0007499064706054495,0.0001135804539751382,0.005243750506321618,0.0017428411801222315,96,9,10,85,line search failed to satisfy strong Wolfe on iteration 9 (consider float64),285.0032959309756,COMPLETE
4,0.00039924152805558786,2026-08-01 06:09:31.886295,2026-08-01 06:16:53.633864,0 days 00:07:21.747569,swish,14,4.869640941520896e-07,0.007568292060167618,3,49,126,107,,,0.0003795853142670637,1.5276728938225228e-05,0.00023006138400037877,7.487383588304126e-06,0.00039924152805558786,0.0001329533554812311,33,1,2,30,line search failed to satisfy strong Wolfe on iteration 1 (consider float64),441.34038736502407,COMPLETE
5,7.01298457577119e-05,2026-08-01 06:16:53.638920,2026-08-01 06:19:54.104011,0 days 00:03:00.465091,tanh,9,1.4817820606039055e-08,0.004544383960336014,3,63,69,58,,,2.6730883107816674e-06,1.1396806593010274e-06,4.023077672750737e-05,7.813943897432507e-07,7.01298457577119e-05,3.6502110200020574e-05,22,0,1,20,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),180.0960001500207,COMPLETE
6,0.0027282596829250596,2026-08-01 06:19:54.136123,2026-08-01 06:23:02.579355,0 days 00:03:08.443232,tanh,16,8.241925264876447e-08,0.00010257563974185662,3,127,106,51,,,0.00018274508859815998,0.00025524134769830663,0.0002089438956241996,5.585435223487254e-05,0.0027282596829250596,0.0007890374742727014,34,0,1,32,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),188.05204085301375,COMPLETE
7,0.001096012181652724,2026-08-01 06:23:02.593520,2026-08-01 06:35:01.478984,0 days 00:11:58.885464,swish,16,3.5500125258511614e-08,0.0004187594718900631,5,43,115,92,64.0,38.0,1.998634077852888e-06,3.0535683355861045e-05,0.0003149434274859523,4.4309968888062864e-05,0.001096012181652724,0.000342762362249814,30,0,1,28,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),718.4727621609927,COMPLETE
8,0.00011535458167931102,2026-08-01 06:35:01.511870,2026-08-01 06:40:11.806878,0 days 00:05:10.295008,tanh,5,2.701255772543902e-10,0.0011103647313054626,5,101,105,86,106.0,79.0,5.130551760589833e-06,5.5381969250059745e-06,4.3606987611298856e-05,1.0298159510670374e-06,0.00011535458167931102,5.556194373796134e-05,44,2,3,40,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),309.8663791330182,COMPLETE
9,0.00048355831661045035,2026-08-01 06:40:11.823099,2026-08-01 06:43:13.658333,0 days 00:03:01.835234,tanh,8,2.0319809838424988e-10,0.000661859559718348,3,81,120,56,,,0.00010524574681335637,7.971074353973806e-06,0.00029750566443192706,8.871883247726723e-06,0.00048355831661045035,0.00020623128014735063,33,0,1,31,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),181.43804722401546,COMPLETE
