number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,state
0,0.19224193898735945,2026-07-31 21:55:31.250705,2026-07-31 21:59:17.550547,0 days 00:03:46.299842,tanh,16,1.2087541473056933e-10,0.005399484409787433,4,90,47,47,37.0,,2.5378155082656606e-05,0.00016030215888572394,0.3165108073516546,0.0028121748770665966,0.19224193898735945,0.005063275746437557,51,8,9,41,line search failed to satisfy strong Wolfe on iteration 8 (consider float64),225.03762906900374,COMPLETE
1,0.5495722993937656,2026-07-31 21:59:17.553879,2026-07-31 22:03:37.580793,0 days 00:04:20.026914,tanh,7,1.4742753159914648e-09,0.0003823475224675188,5,49,49,61,82.0,73.0,2.8016351587162606e-05,0.0004975725484380875,0.41269030228767944,0.03353249413090244,0.5495722993937656,0.005414344198711096,47,4,5,41,line search failed to satisfy strong Wolfe on iteration 4 (consider float64),259.63849166400905,COMPLETE
2,0.3190987337847111,2026-07-31 22:03:37.598135,2026-07-31 22:13:11.042646,0 days 00:09:33.444511,swish,6,6.245139574743071e-07,0.0016409286730647919,4,51,81,89,36.0,,4.809461967501569e-07,0.00037672175677270196,0.37123656240808495,0.012979244100813043,0.3190987337847111,0.0018044027886746632,52,10,11,40,line search failed to satisfy strong Wolfe on iteration 10 (consider float64),572.9318511099991,COMPLETE
3,0.525037711873601,2026-07-31 22:13:11.051340,2026-07-31 22:17:36.392770,0 days 00:04:25.341430,tanh,9,4.467752817973904e-08,0.00011715937392307068,5,41,98,74,43.0,80.0,0.0004337920697490938,0.00016199541241469626,0.4500122237581952,0.02943069032951898,0.525037711873601,0.004914719637240126,28,0,1,26,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),264.94703393499367,COMPLETE
4,0.4355857396792553,2026-07-31 22:17:36.424463,2026-07-31 22:24:56.197607,0 days 00:07:19.773144,swish,14,4.869640941520896e-07,0.007568292060167618,3,49,126,107,,,0.0003795853142670637,0.0006376617724955922,0.5109195573194019,0.017318957291092885,0.4355857396792553,0.0037480792461475404,51,1,2,48,line search failed to satisfy strong Wolfe on iteration 1 (consider float64),439.3861862440099,COMPLETE
5,0.2406663534015897,2026-07-31 22:24:56.219048,2026-07-31 22:28:01.590705,0 days 00:03:05.371657,tanh,9,1.4817820606039055e-08,0.004544383960336014,3,63,69,58,,,2.6730883107816674e-06,0.0002807873031828536,0.3669575329942209,0.005180235638733899,0.2406663534015897,0.003981294001226,74,8,9,64,line search failed to satisfy strong Wolfe on iteration 8 (consider float64),184.98701452500245,COMPLETE
6,0.6050048686432118,2026-07-31 22:28:01.596769,2026-07-31 22:31:09.427214,0 days 00:03:07.830445,tanh,16,8.241925264876447e-08,0.00010257563974185662,3,127,106,51,,,0.00018274508859815998,0.0009313410753057541,0.47504479299853825,0.036065835564117917,0.6050048686432118,0.0021674111262347247,51,3,4,46,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),187.44967491200077,COMPLETE
7,0.3539315508968649,2026-07-31 22:31:09.461677,2026-07-31 22:43:50.360105,0 days 00:12:40.898428,swish,16,3.5500125258511614e-08,0.0004187594718900631,5,43,115,92,64.0,38.0,1.998634077852888e-06,0.0002578608449230929,0.2986391296454973,0.020184204780560985,0.3539315508968649,0.0014806340438909109,119,7,8,110,line search failed to satisfy strong Wolfe on iteration 7 (consider float64),760.4921159030055,COMPLETE
8,0.21558275671755017,2026-07-31 22:43:50.396814,2026-07-31 22:49:06.248492,0 days 00:05:15.851678,tanh,5,2.701255772543902e-10,0.0011103647313054626,5,101,105,86,106.0,79.0,5.130551760589833e-06,0.00014186990373940875,0.3682983979030349,0.002567815826347643,0.21558275671755017,0.005046049983859229,63,6,7,55,line search failed to satisfy strong Wolfe on iteration 6 (consider float64),315.4203356109938,COMPLETE
9,0.44915643807044325,2026-07-31 22:49:06.252472,2026-07-31 22:52:18.394730,0 days 00:03:12.142258,tanh,8,2.0319809838424988e-10,0.000661859559718348,3,81,120,56,,,0.00010524574681335637,0.0001594361683521905,0.40879583625929444,0.024083153237315698,0.44915643807044325,0.0031298067258781564,122,10,11,110,line search failed to satisfy strong Wolfe on iteration 10 (consider float64),191.75628277700162,COMPLETE
10,0.258619498899426,2026-07-31 22:52:18.432726,2026-07-31 23:02:06.294204,0 days 00:09:47.861478,swish,20,3.299263281612618e-09,0.0029255425810910765,4,126,33,34,120.0,,1.271124000730177e-07,0.0001332899807966202,0.17920821317212735,0.016686196950538804,0.258619498899426,0.001486972903991183,64,8,9,54,line search failed to satisfy strong Wolfe on iteration 8 (consider float64),587.4497752000025,COMPLETE
11,0.23455267185444398,2026-07-31 23:02:06.330187,2026-07-31 23:06:13.892107,0 days 00:04:07.561920,tanh,12,1.0473363433053045e-10,0.0014014640289440811,4,97,68,124,122.0,,1.4209368414616323e-05,8.668252179304435e-05,0.3724628575420787,0.004286740504043946,0.23455267185444398,0.005020425433999957,32,2,3,28,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),247.13883960100065,COMPLETE
12,0.41303570069501705,2026-07-31 23:06:13.925561,2026-07-31 23:10:04.647531,0 days 00:03:50.721970,tanh,20,5.221193917457902e-10,0.00963988203038364,4,103,89,38,83.0,,9.84175675835792e-06,0.00022281355470970296,0.7298160624880854,0.004248201209806676,0.41303570069501705,0.004531589579359095,59,8,9,49,line search failed to satisfy strong Wolfe on iteration 8 (consider float64),230.31589028600138,COMPLETE
13,0.2134189482951576,2026-07-31 23:10:04.681468,2026-07-31 23:14:48.641952,0 days 00:04:43.960484,tanh,5,5.423186782954136e-10,0.0012464838012216882,5,95,47,80,98.0,125.0,3.902461506994236e-06,3.1868578578997985e-05,0.36746905685261644,0.0023963305095414797,0.2134189482951576,0.0055617718805395806,106,12,13,92,line search failed to satisfy strong Wolfe on iteration 12 (consider float64),283.52532307799265,COMPLETE
14,0.21657699332143765,2026-07-31 23:14:48.667574,2026-07-31 23:18:41.613275,0 days 00:03:52.945701,tanh,11,1.1684631170929322e-09,0.002663987771368194,4,79,48,73,75.0,,4.467539426971569e-05,0.00011972884171810489,0.34265810130279406,0.003994951739032058,0.21657699332143765,0.0046997810711295355,51,5,6,44,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),232.51114114999655,COMPLETE
15,0.18531612927189597,2026-07-31 23:18:41.619082,2026-07-31 23:23:11.266985,0 days 00:04:29.647903,tanh,17,5.121146535883147e-09,0.004798156216545938,5,83,32,112,56.0,127.0,7.12193644272233e-07,7.36206203454685e-05,0.30629264847471066,0.0028315428032545165,0.18531612927189597,0.0034862739002681437,62,7,8,53,line search failed to satisfy strong Wolfe on iteration 7 (consider float64),269.13639853899076,COMPLETE
16,0.1984995761495824,2026-07-31 23:23:11.306271,2026-07-31 23:27:03.983373,0 days 00:03:52.677102,tanh,17,5.513292260472455e-09,0.005287977223864325,4,74,33,124,52.0,,7.787624170325358e-07,9.26853747232668e-05,0.3323950023957766,0.0027384042679620773,0.1984995761495824,0.004454605398457006,54,9,10,43,line search failed to satisfy strong Wolfe on iteration 9 (consider float64),232.2408196059987,COMPLETE
17,0.20343929738338964,2026-07-31 23:27:03.989747,2026-07-31 23:31:30.525083,0 days 00:04:26.535336,tanh,18,1.988515140715226e-07,0.0031038779388499987,5,88,61,106,54.0,127.0,1.3413892887727765e-07,0.0007231109444040491,0.3363434203415197,0.0026933181273302393,0.20343929738338964,0.004718851217307158,40,2,3,36,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),266.1065051760088,COMPLETE
18,0.19238113158080633,2026-07-31 23:31:30.545449,2026-07-31 23:41:55.849380,0 days 00:10:25.303931,swish,13,1.1893277438799782e-08,0.005450721698389966,4,113,41,103,36.0,,4.433642895516422e-07,0.00010762241308053249,0.22431080488567431,0.007619963216650161,0.19238113158080633,0.0034879849060649084,123,34,35,87,line search failed to satisfy strong Wolfe on iteration 34 (consider float64),624.8573978999921,COMPLETE
19,0.17439030848723514,2026-07-31 23:41:55.856518,2026-07-31 23:46:30.125641,0 days 00:04:34.269123,tanh,15,3.705165684463225e-09,0.00234003839058117,5,63,58,116,57.0,32.0,1.1913325735163837e-06,3.7920280992545044e-05,0.2832783968835816,0.002807346136248688,0.17439030848723514,0.004488047277994722,96,18,19,76,line search failed to satisfy strong Wolfe on iteration 18 (consider float64),273.7755748920026,COMPLETE
20,0.19596349133610227,2026-07-31 23:46:30.163944,2026-07-31 23:51:11.740882,0 days 00:04:41.576938,tanh,14,4.387795184724702e-09,0.002233839339432362,5,63,59,115,64.0,37.0,1.0141641852529026e-06,0.0004357758771527599,0.3262153685466964,0.002669361305396451,0.19596349133610227,0.003983314623025763,62,2,3,58,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),281.16057264400297,COMPLETE
21,0.1568481736412628,2026-07-31 23:51:11.776342,2026-07-31 23:55:37.910829,0 days 00:04:26.134487,tanh,18,1.807447386807161e-09,0.003981309469131056,5,59,58,98,50.0,102.0,3.08668220409197e-07,9.730284611619494e-05,0.2481563846830715,0.002886356730049346,0.1568481736412628,0.003419899768652614,44,4,5,38,line search failed to satisfy strong Wolfe on iteration 4 (consider float64),265.66468372300733,COMPLETE
22,0.20055950479785833,2026-07-31 23:55:37.949805,2026-08-01 00:00:18.023774,0 days 00:04:40.073969,tanh,18,2.0852923198783233e-09,0.0036011227395546267,5,65,72,99,53.0,109.0,2.636528807111051e-07,0.0004394208114924949,0.33241795667551954,0.00276660909198388,0.20055950479785833,0.004487331482797288,64,6,7,56,line search failed to satisfy strong Wolfe on iteration 6 (consider float64),279.65579371700005,COMPLETE
23,0.2087558163428939,2026-08-01 00:00:18.054658,2026-08-01 00:04:47.957110,0 days 00:04:29.902452,tanh,18,1.1716184662145297e-08,0.002180881050163802,5,71,59,111,65.0,100.0,2.396942615202176e-07,5.7039382190768305e-05,0.3482603854030529,0.0028754293511389028,0.2087558163428939,0.005586133219024584,56,4,5,50,line search failed to satisfy strong Wolfe on iteration 4 (consider float64),269.4797291910072,COMPLETE
24,0.22934869416025644,2026-08-01 00:04:47.994412,2026-08-01 00:09:21.489270,0 days 00:04:33.494858,tanh,15,9.33361640683167e-10,0.0008312944462037881,5,33,79,117,49.0,57.0,1.2704404991131422e-06,0.0005431245634201791,0.38597376636648456,0.0026779493061317213,0.22934869416025644,0.006866695098596046,65,5,6,58,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),273.0252484599914,COMPLETE
25,0.4396088023155112,2026-08-01 00:09:21.496087,2026-08-01 00:14:49.172290,0 days 00:05:27.676203,tanh,19,6.18188048684689e-09,0.007728661623186475,5,58,57,96,72.0,103.0,5.179854892317638e-07,0.0001656075483388599,0.8142154116151643,0.0026825865929836733,0.4396088023155112,0.004847192836398026,286,116,117,168,line search failed to satisfy strong Wolfe on iteration 116 (consider float64),327.23601743199106,COMPLETE
26,0.2954242847826519,2026-08-01 00:14:49.179266,2026-08-01 00:29:35.521969,0 days 00:14:46.342703,swish,17,2.2331661164841364e-09,0.0018623580064844087,5,57,37,127,58.0,117.0,1.5477707022949666e-06,0.00023050643591672503,0.23441591854572436,0.01745782241942026,0.2954242847826519,0.00248556913600353,293,105,106,186,line search failed to satisfy strong Wolfe on iteration 105 (consider float64),885.8860788790043,COMPLETE
27,0.14801084621281074,2026-08-01 00:29:35.535379,2026-08-01 00:34:20.783830,0 days 00:04:45.248451,tanh,15,2.31905883058832e-08,0.004086341693267001,5,72,53,114,43.0,92.0,2.74236249283038e-07,6.421588545584292e-05,0.2322096853353771,0.002832187076615245,0.14801084621281074,0.0032630533516905193,109,31,32,76,line search failed to satisfy strong Wolfe on iteration 31 (consider float64),284.7041916320013,COMPLETE
28,0.1945616937714011,2026-08-01 00:34:20.788249,2026-08-01 00:39:11.049240,0 days 00:04:50.260991,tanh,12,2.525384901928927e-08,0.003698890663680591,5,71,55,117,44.0,92.0,2.2939091697859742e-07,0.00039026237724772275,0.31496249831959006,0.0030111894639749844,0.1945616937714011,0.005017238085617595,84,3,4,79,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),289.8374389679957,COMPLETE
29,0.3273423546202664,2026-08-01 00:39:11.090210,2026-08-01 00:43:45.588807,0 days 00:04:34.498597,tanh,15,1.1410826475149957e-07,0.006671487762905851,5,56,65,100,32.0,57.0,1.216901767309761e-07,0.0008908351809759429,0.5741337528611729,0.003188148216595405,0.3273423546202664,0.003939820118846191,64,8,9,54,line search failed to satisfy strong Wolfe on iteration 8 (consider float64),274.0581197149877,COMPLETE
