number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,state
0,0.03957325670495829,2026-07-31 16:09:02.410530,2026-07-31 16:12:46.471768,0 days 00:03:44.061238,tanh,16,1.2087541473056933e-10,0.005399484409787433,4,90,47,47,37.0,,2.5378155082656606e-05,8.813618438536446e-05,0.04703516436831164,0.0013731683882531138,0.03957325670495829,0.0018833097163445055,71,9,10,60,line search failed to satisfy strong Wolfe on iteration 9 (consider float64),222.79749572600122,COMPLETE
1,0.12108846896410327,2026-07-31 16:12:46.475358,2026-07-31 16:17:26.791873,0 days 00:04:40.316515,tanh,7,1.4742753159914648e-09,0.0003823475224675188,5,49,49,61,82.0,73.0,2.8016351587162606e-05,7.0211078808372e-05,0.06248892397394458,0.008803264120873885,0.12108846896410327,0.0014603103743502856,88,11,12,75,line search failed to satisfy strong Wolfe on iteration 11 (consider float64),279.9291200879961,COMPLETE
2,0.060827641914798516,2026-07-31 16:17:26.804160,2026-07-31 16:26:49.921405,0 days 00:09:23.117245,swish,6,6.245139574743071e-07,0.0016409286730647919,4,51,81,89,36.0,,4.809461967501569e-07,2.4289404300902782e-05,0.03902423414422,0.004028331679014652,0.060827641914798516,0.0009107610310374754,44,5,6,37,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),562.6057801569987,COMPLETE
3,0.13506895854819664,2026-07-31 16:26:49.932360,2026-07-31 16:31:29.079606,0 days 00:04:39.147246,tanh,9,4.467752817973904e-08,0.00011715937392307068,5,41,98,74,43.0,80.0,0.0004337920697490938,6.49681207005908e-05,0.06552125503410898,0.009948632691193799,0.13506895854819664,0.002497163515701224,62,6,7,54,line search failed to satisfy strong Wolfe on iteration 6 (consider float64),278.75537007801177,COMPLETE
4,0.0899467664106319,2026-07-31 16:31:29.089780,2026-07-31 16:39:06.862598,0 days 00:07:37.772818,swish,14,4.869640941520896e-07,0.007568292060167618,3,49,126,107,,,0.0003795853142670637,0.0001540474860215026,0.06258033894707309,0.005716310608676728,0.0899467664106319,0.0007232534202205696,100,7,8,91,line search failed to satisfy strong Wolfe on iteration 7 (consider float64),457.39053525199415,COMPLETE
5,0.05276136126057098,2026-07-31 16:39:06.879967,2026-07-31 16:42:03.191197,0 days 00:02:56.311230,tanh,9,1.4817820606039055e-08,0.004544383960336014,3,63,69,58,,,2.6730883107816674e-06,4.285600972727543e-05,0.04540182213909588,0.002853926110889484,0.05276136126057098,0.0013069090334918224,50,1,2,47,line search failed to satisfy strong Wolfe on iteration 1 (consider float64),175.90501668899378,COMPLETE
6,0.12814237539861562,2026-07-31 16:42:03.194847,2026-07-31 16:45:14.272297,0 days 00:03:11.077450,tanh,16,8.241925264876447e-08,0.00010257563974185662,3,127,106,51,,,0.00018274508859815998,0.0002748156841156408,0.061741536123750045,0.009498340741759825,0.12814237539861562,0.0009141214985641512,108,17,18,89,line search failed to satisfy strong Wolfe on iteration 17 (consider float64),190.69362570199883,COMPLETE
7,0.08002916787565592,2026-07-31 16:45:14.304277,2026-07-31 16:57:06.223620,0 days 00:11:51.919343,swish,16,3.5500125258511614e-08,0.0004187594718900631,5,43,115,92,64.0,38.0,1.998634077852888e-06,3.223496159822837e-05,0.03804206250030635,0.006005243497782102,0.08002916787565592,0.0007945268396905892,34,0,1,32,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),711.5218143920065,COMPLETE
8,0.04383289769157479,2026-07-31 16:57:06.257900,2026-07-31 17:02:22.739643,0 days 00:05:16.481743,tanh,5,2.701255772543902e-10,0.0011103647313054626,5,101,105,86,106.0,79.0,5.130551760589833e-06,2.6359695673994244e-05,0.04176493887246743,0.0021435321853562673,0.04383289769157479,0.001383307923408438,65,6,7,57,line search failed to satisfy strong Wolfe on iteration 6 (consider float64),316.06958815800317,COMPLETE
9,0.10486552647174742,2026-07-31 17:02:22.761302,2026-07-31 17:05:22.925883,0 days 00:03:00.164581,tanh,8,2.0319809838424988e-10,0.000661859559718348,3,81,120,56,,,0.00010524574681335637,7.540433394909563e-05,0.05102892748568306,0.007811926531491672,0.10486552647174742,0.0008547757442437014,50,4,5,44,line search failed to satisfy strong Wolfe on iteration 4 (consider float64),179.74822952800605,COMPLETE
10,0.045268380834608844,2026-07-31 17:05:22.931465,2026-07-31 17:15:12.747468,0 days 00:09:49.816003,swish,20,3.299263281612618e-09,0.0029255425810910765,4,126,33,34,120.0,,1.271124000730177e-07,8.835633011695252e-06,0.03080953482663135,0.0028557385301068426,0.045268380834608844,0.0012620499551662687,71,14,15,55,line search failed to satisfy strong Wolfe on iteration 14 (consider float64),589.3897481309978,COMPLETE
11,0.04683438207666188,2026-07-31 17:15:12.753330,2026-07-31 17:19:25.124580,0 days 00:04:12.371250,tanh,12,1.0473363433053045e-10,0.0014014640289440811,4,97,68,124,122.0,,1.4209368414616323e-05,3.0370172212338593e-05,0.04457538580893205,0.002303674268681281,0.04683438207666188,0.0013580956243213528,50,2,3,46,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),251.967739625994,COMPLETE
12,0.04068114934267568,2026-07-31 17:19:25.160269,2026-07-31 17:23:08.002834,0 days 00:03:42.842565,tanh,20,5.221193917457902e-10,0.00963988203038364,4,103,89,38,83.0,,9.84175675835792e-06,5.939617102054641e-05,0.04520553093084547,0.0016077655465845495,0.04068114934267568,0.001703747556304716,57,12,13,43,line search failed to satisfy strong Wolfe on iteration 12 (consider float64),222.44315726899367,COMPLETE
13,0.04404136963815369,2026-07-31 17:23:08.031586,2026-07-31 17:27:00.244612,0 days 00:03:52.213026,tanh,20,7.331453802941554e-10,0.00945710329224641,4,103,86,36,79.0,,3.954225573287044e-05,8.005664010072523e-05,0.054437875916062126,0.0014342638588052813,0.04404136963815369,0.002079509891566198,53,5,6,46,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),231.78433952901105,COMPLETE
14,0.04933443283009806,2026-07-31 17:27:00.253341,2026-07-31 17:30:42.983956,0 days 00:03:42.730615,tanh,18,7.608928988436803e-10,0.004300511668759013,4,79,48,44,59.0,,8.933669558035603e-06,4.2756805426201376e-05,0.04595009764764403,0.0024950384998614805,0.04933443283009806,0.0011952149805302252,43,4,5,37,line search failed to satisfy strong Wolfe on iteration 4 (consider float64),222.33512693400553,COMPLETE
15,0.04082609578400742,2026-07-31 17:30:43.020372,2026-07-31 17:34:38.009098,0 days 00:03:54.988726,tanh,17,4.7802997453142634e-09,0.005822223505707939,4,113,58,71,94.0,,4.932727940480201e-05,3.325994017835532e-05,0.04409723109060361,0.0016964445668214523,0.04082609578400742,0.0016467348695993122,56,5,6,49,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),234.59833847900154,COMPLETE
16,0.03895351563205435,2026-07-31 17:34:38.044400,2026-07-31 17:38:26.005653,0 days 00:03:47.961253,tanh,13,3.3525638310272717e-10,0.0027277263590684605,4,85,33,44,54.0,,9.918099030895951e-07,2.7936876286694674e-05,0.0408544381781613,0.0016586449943957198,0.03895351563205435,0.001800162217583031,91,11,12,78,line search failed to satisfy strong Wolfe on iteration 11 (consider float64),227.48487410300004,COMPLETE
17,0.05501714722659299,2026-07-31 17:38:26.044065,2026-07-31 17:42:19.271971,0 days 00:03:53.227906,tanh,12,1.686689539537114e-10,0.0026426683447286796,4,76,36,68,50.0,,4.806678934902539e-07,2.9672023033020966e-05,0.042840962234793944,0.0032307261576388427,0.05501714722659299,0.0011410444176424828,45,5,6,38,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),232.8351124389883,COMPLETE
18,0.059407689803622765,2026-07-31 17:42:19.308557,2026-07-31 17:49:45.215722,0 days 00:07:25.907165,swish,13,1.7097222717176967e-09,0.0022690521465438657,3,89,44,47,,,0.0009454606334965872,7.649875220934703e-05,0.04173199119919235,0.003713037839724771,0.059407689803622765,0.001028822045732143,57,3,4,52,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),445.50451479200274,COMPLETE
19,0.03300203105365458,2026-07-31 17:49:45.243018,2026-07-31 17:54:15.915195,0 days 00:04:30.672177,tanh,14,3.659198417372917e-10,0.003880703997125983,5,69,59,32,33.0,125.0,5.357336516293976e-07,4.195995084378706e-05,0.03835975706515686,0.0011289467294991595,0.03300203105365458,0.002322885471865623,60,7,8,51,line search failed to satisfy strong Wolfe on iteration 7 (consider float64),270.18570513300074,COMPLETE
20,0.06641304302045876,2026-07-31 17:54:15.951788,2026-07-31 17:58:56.151429,0 days 00:04:40.199641,tanh,11,5.520350166411624e-09,0.0008702212187289836,5,67,61,33,58.0,125.0,7.341280167893901e-07,4.972499126589395e-05,0.04915397368550287,0.004035141585590721,0.06641304302045876,0.0012360153654706488,57,0,1,55,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),279.77662113400584,COMPLETE
21,0.032661152792538714,2026-07-31 17:58:56.189016,2026-07-31 18:03:27.218136,0 days 00:04:31.029120,tanh,14,4.4596115768664774e-10,0.0036949870153612195,5,65,55,44,33.0,125.0,1.2365609521534934e-07,3.234547638471323e-05,0.04347002480514083,0.0008993339607917002,0.032661152792538714,0.0017710734001277293,55,15,16,38,line search failed to satisfy strong Wolfe on iteration 15 (consider float64),270.50191527399875,COMPLETE
22,0.03196166150380103,2026-07-31 18:03:27.232397,2026-07-31 18:08:04.500968,0 days 00:04:37.268571,tanh,14,4.275732463188559e-10,0.003619693565905379,5,69,56,42,32.0,125.0,1.1804294924662307e-07,7.534326232720277e-05,0.03637857424973928,0.0010967080712101075,0.03196166150380103,0.002428577355194303,42,8,9,32,line search failed to satisfy strong Wolfe on iteration 8 (consider float64),276.7679472909949,COMPLETE
23,0.03089609973106084,2026-07-31 18:08:04.506529,2026-07-31 18:12:40.109150,0 days 00:04:35.602621,tanh,15,1.2887290974239845e-09,0.0036466461632512393,5,70,74,39,35.0,126.0,1.1365544133512498e-07,5.8814475162993895e-05,0.03667634451509713,0.0010070708513894961,0.03089609973106084,0.002193146583802346,57,10,11,45,line search failed to satisfy strong Wolfe on iteration 10 (consider float64),275.10942944299313,COMPLETE
24,0.03614380702405189,2026-07-31 18:12:40.113003,2026-07-31 18:17:22.718372,0 days 00:04:42.605369,tanh,15,1.4217625767185528e-09,0.0019501765321663297,5,58,74,54,45.0,128.0,1.1313316432792264e-07,1.987076014253745e-05,0.044856155223177145,0.0011659080167709928,0.03614380702405189,0.0019572954440407035,78,10,11,66,line search failed to satisfy strong Wolfe on iteration 10 (consider float64),282.16723448899575,COMPLETE
25,0.03066782181108453,2026-07-31 18:17:22.738298,2026-07-31 18:21:53.995981,0 days 00:04:31.257683,tanh,18,1.2192812056712122e-08,0.0035903118228337474,5,32,77,63,32.0,106.0,2.191581174355439e-07,7.072059294233901e-05,0.03494631056479985,0.0010396796369432867,0.03066782181108453,0.0024442671945400455,46,6,7,38,line search failed to satisfy strong Wolfe on iteration 6 (consider float64),270.766576643,COMPLETE
26,0.05653100178122243,2026-07-31 18:21:54.026036,2026-07-31 18:36:36.192199,0 days 00:14:42.166163,swish,18,1.132640004044193e-08,0.006690714420094249,5,35,76,63,42.0,102.0,2.419171551518575e-07,3.111635732871488e-05,0.025606522726204426,0.004312959556577281,0.05653100178122243,0.0004425630657038383,298,121,122,175,line search failed to satisfy strong Wolfe on iteration 121 (consider float64),881.6996157440008,COMPLETE
27,0.04092427040852264,2026-07-31 18:36:36.197064,2026-07-31 18:41:21.407235,0 days 00:04:45.210171,tanh,18,2.8719451206842335e-07,0.003113219251520193,5,32,91,78,69.0,102.0,3.133451055482933e-07,3.175829604118621e-05,0.04748373198310991,0.0015266514811268551,0.04092427040852264,0.0017570981254932008,76,2,3,72,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),284.78468173000147,COMPLETE
28,0.03362323492597275,2026-07-31 18:41:21.446079,2026-07-31 18:45:58.198423,0 days 00:04:36.752344,tanh,17,1.027274334315301e-08,0.0013638220283523701,5,73,70,64,48.0,107.0,2.1219089829158408e-07,0.00013480070662913354,0.04294923846399755,0.0009194619816467759,0.03362323492597275,0.0022799923443605524,46,1,2,43,line search failed to satisfy strong Wolfe on iteration 1 (consider float64),276.3266200270009,COMPLETE
29,0.03680358325790055,2026-07-31 18:45:58.235668,2026-07-31 18:50:32.443129,0 days 00:04:34.207461,tanh,15,2.8579260538793735e-09,0.0020280665352836336,5,57,81,80,41.0,110.0,1.3492440470944287e-06,0.00010791146168339151,0.05066289477564913,0.0009278618686532744,0.03680358325790055,0.0016539598751262796,63,10,11,51,line search failed to satisfy strong Wolfe on iteration 10 (consider float64),273.7721474340069,COMPLETE
